state,city,latitude,longitude,elevation,population
Andaman and Nicobar Islands,Aberdeen,11.67,92.73,68,38132
Andaman and Nicobar Islands,Alipur,11.73,92.68,232,5355
Andaman and Nicobar Islands,Anowa,7.97,93.55,830,770
Andaman and Nicobar Islands,Arainj-laka-punga,12.6,92.72,16,73
Andaman and Nicobar Islands,Arong,9.17,92.72,3,13393
Andaman and Nicobar Islands,Austinabad,11.63,92.75,203,22347
Andaman and Nicobar Islands,Bamboo Flat,11.7,92.72,157,21475
Andaman and Nicobar Islands,Bambooflat,11.7,92.72,157,21475
Andaman and Nicobar Islands,Bananga,6.95,93.9,187,1581
Andaman and Nicobar Islands,BeadonÄbÄd,6.95,93.9,187,1581
Andaman and Nicobar Islands,Bengala,8.32,93.1,88,735
Andaman and Nicobar Islands,Betapur,12.72,92.9,288,2446
Andaman and Nicobar Islands,Bindraban,11.72,92.67,187,6915
Andaman and Nicobar Islands,Birchganj,11.62,92.75,127,19710
Andaman and Nicobar Islands,Bonington,12.92,92.9,0,1337
Andaman and Nicobar Islands,BrookesÄbÄd,12.92,92.9,0,1337
Andaman and Nicobar Islands,Bumlitan,11.62,92.7,216,27978
Andaman and Nicobar Islands,BÄjajÄg,11.62,92.7,216,27978
Andaman and Nicobar Islands,Calicut,11.6,92.73,209,17929
Andaman and Nicobar Islands,Chanumia,8.35,93.1,354,457
Andaman and Nicobar Islands,Chanumla,8.32,93.08,150,709
Andaman and Nicobar Islands,Chetamale,10.72,92.55,78,108
Andaman and Nicobar Islands,Chingenh,6.81,93.85,173,1390
Andaman and Nicobar Islands,Dak-omkeh,7.08,93.65,0,850
Andaman and Nicobar Islands,Dak-omkeli,7.08,93.65,0,850
Andaman and Nicobar Islands,Diglipur,13.27,93,144,4050
Andaman and Nicobar Islands,Dit-dak,7.32,93.63,203,1096
Andaman and Nicobar Islands,Dolyganj,11.63,92.63,0,3245
Andaman and Nicobar Islands,DÄkoÄnk,11.63,92.63,0,3245
Andaman and Nicobar Islands,Endea-geleda,10.68,92.35,0,46
